;Empleo;Año del censo;Partido
227;840;2002;Olavarría
228;441;2002;Patagones
229;749;2002;Pehuajó
230;281;2002;Pellegrini
231;433;2002;Pergamino
232;217;2002;Pila
233;213;2002;Pilar
234;0;2002;Pinamar
235;14;2002;Presidente Perón
236;299;2002;Puán
237;190;2002;Punta Indio
238;9;2002;Quilmes
239;114;2002;Ramallo
240;393;2002;Rauch
241;565;2002;Rivadavia
242;268;2002;Rojas
243;203;2002;Roque Pérez
244;337;2002;Saavedra
245;390;2002;Saladillo
246;122;2002;Salliqueló
247;213;2002;Salto
248;254;2002;San Andrés de Giles
249;345;2002;San Antonio de Areco
250;292;2002;San Cayetano
251;20;2002;San Fernando
252;3;2002;San Isidro
253;0;2002;San Miguel
254;90;2002;San Nicolás
255;304;2002;San Pedro
256;152;2002;San Vicente
257;272;2002;Suipacha
258;981;2002;Tandil
259;301;2002;Tapalqué
260;4;2002;Tigre
261;102;2002;Tordillo
262;318;2002;Tornquist
263;1086;2002;Trenque Lauquen
264;718;2002;Tres Arroyos
265;1;2002;Tres de Febrero
266;167;2002;Tres Lomas
267;594;2002;25 de mayo
268;0;2002;Vicente López
269;1;2002;Villa Gesell
270;689;2002;Villarino
271;202;2002;Zárate
272;181679;1988;Provincia de Buenos Aires
273;0;1988;Adolfo Alsina
274;0;1988;Adolfo Gonzales Chaves
275;0;1988;Alberti
276;0;1988;Almirante Brown
277;0;1988;Arrecifes
278;0;1988;Avellaneda
279;0;1988;Ayacucho
280;0;1988;Azul
281;0;1988;Bahía Blanca
282;0;1988;Balcarce
283;0;1988;Baradero
284;0;1988;Bartolomé Mitre
285;0;1988;Benito Juárez
286;0;1988;Berazategui
287;0;1988;Berisso
288;0;1988;Bolívar
289;0;1988;Bragado
290;0;1988;Brandsen
291;0;1988;Campana
292;0;1988;Cañuelas
293;0;1988;Capitán Sarmiento
294;0;1988;Carlos Casares
295;0;1988;Carlos Tejedor
296;0;1988;Carmen de Areco
297;0;1988;Castelli
298;0;1988;Chacabuco
299;0;1988;Chascomús
300;0;1988;Chivilcoy
301;0;1988;Colón
302;0;1988;Coronel de Marina Leonardo Rosales
303;0;1988;Coronel Dorrego
304;0;1988;Coronel Pringles
305;0;1988;Coronel Suárez
306;0;1988;Daireaux
307;0;1988;Dolores
308;0;1988;Ensenada
309;0;1988;Escobar
310;0;1988;Esteban Echeverría
311;0;1988;Exaltación de la Cruz
312;0;1988;Ezeiza
313;0;1988;Florencio Varela
314;0;1988;Florentino Ameghino
315;0;1988;General Alvarado
316;0;1988;General Alvear
317;0;1988;General Arenales
318;0;1988;General Belgrano
319;0;1988;General Guido
320;0;1988;General Juan Madariaga
321;0;1988;General La Madrid
322;0;1988;General Las Heras
323;0;1988;General Lavalle
324;0;1988;General Paz
325;0;1988;General Pinto
326;0;1988;General Pueyrredón
327;0;1988;General Rodríguez
328;0;1988;General San Martín
329;0;1988;General Sarmiento
330;0;1988;General Viamonte
331;0;1988;General Villegas
332;0;1988;Guaminí
333;0;1988;Hipólito Yrigoyen
334;0;1988;Hurlingham
335;0;1988;Ituzaingó
336;0;1988;José C, Paz
337;0;1988;Junín
338;0;1988;La Costa
339;0;1988;La Matanza
340;0;1988;Lanús
341;0;1988;La Plata
342;0;1988;Laprida
343;0;1988;Las Flores
344;0;1988;Leandro N, Alem
345;0;1988;Lezama
346;0;1988;Lincoln
347;0;1988;Lobería
348;0;1988;Lobos
349;0;1988;Lomas de Zamora
350;0;1988;Luján
351;0;1988;Magdalena
352;0;1988;Maipú
353;0;1988;Malvinas Argentinas
354;0;1988;Mar Chiquita
355;0;1988;Marcos Paz
356;0;1988;Mercedes
357;0;1988;Merlo
358;0;1988;Monte
359;0;1988;Monte Hermoso
360;0;1988;Moreno
361;0;1988;Morón
362;0;1988;Navarro
363;0;1988;Necochea
364;0;1988;9 de julio
365;0;1988;Olavarría
366;0;1988;Patagones
367;0;1988;Pehuajó
368;0;1988;Pellegrini
369;0;1988;Pergamino
370;0;1988;Pila
371;0;1988;Pilar
372;0;1988;Pinamar
373;0;1988;Presidente Perón
374;0;1988;Puán
375;0;1988;Punta Indio
376;0;1988;Quilmes
377;0;1988;Ramallo
378;0;1988;Rauch
379;0;1988;Rivadavia
380;0;1988;Rojas
381;0;1988;Roque Pérez
382;0;1988;Saavedra
383;0;1988;Saladillo
384;0;1988;Salliqueló
385;0;1988;Salto
386;0;1988;San Andrés de Giles
387;0;1988;San Antonio de Areco
388;0;1988;San Cayetano
389;0;1988;San Fernando
390;0;1988;San Isidro
391;0;1988;San Miguel
392;0;1988;San Nicolás
393;0;1988;San Pedro
394;0;1988;San Vicente
